Date,TotalConfirmed,TotalDeaths,TotalRecovered,Active,New cases,New deaths,New recovered,DeathRate,RecoveryRate,MortalityRate
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43
2020-01-29,6166,133,125,5908,588,2,18,2.16,2.03,106.4
2020-01-30,8234,171,141,7922,2068,38,16,2.08,1.71,121.28
2020-01-31,9927,213,219,9495,1693,42,78,2.15,2.21,97.26
2020-02-01,12038,259,281,11498,2111,46,62,2.15,2.33,92.17
2020-02-02,16787,362,459,15966,4749,103,178,2.16,2.73,78.87
2020-02-03,19887,426,604,18857,3100,64,145,2.14,3.04,70.53
2020-02-04,23898,492,821,22585,4011,66,217,2.06,3.44,59.93
2020-02-05,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66
2020-02-06,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71
2020-02-07,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78
2020-02-08,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63
2020-02-09,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64
2020-02-10,42633,1013,3714,37906,2538,107,657,2.38,8.71,27.28
2020-02-11,44675,1113,4417,39145,2042,100,703,2.49,9.89,25.2
2020-02-12,46561,1118,4849,40594,1886,5,432,2.4,10.41,23.06
2020-02-13,60206,1371,5930,52905,13645,253,1081,2.28,9.85,23.12
2020-02-14,66690,1523,7613,57554,6484,152,1683,2.28,11.42,20.01
2020-02-15,68765,1666,8902,58197,2075,143,1289,2.42,12.95,18.71
2020-02-16,70879,1770,10319,58790,2114,104,1417,2.5,14.56,17.15
2020-02-17,72815,1868,11951,58996,1936,98,1632,2.57,16.41,15.63
2020-02-18,74609,2008,13693,58908,1794,140,1742,2.69,18.35,14.66
2020-02-19,75030,2123,15394,57513,421,115,1701,2.83,20.52,13.79
2020-02-20,75577,2246,17369,55962,547,123,1975,2.97,22.98,12.93
2020-02-21,76206,2250,17966,55990,629,4,597,2.95,23.58,12.52
2020-02-22,77967,2457,21849,53661,1761,207,3883,3.15,28.02,11.25
2020-02-23,78290,2467,22304,53519,323,10,455,3.15,28.49,11.06
2020-02-24,78854,2627,24047,52180,564,160,1743,3.33,30.5,10.92
2020-02-25,79707,2707,26652,50348,853,80,2605,3.4,33.44,10.16
2020-02-26,80670,2767,29077,48826,963,60,2425,3.43,36.04,9.52
2020-02-27,82034,2810,31919,47305,1364,43,2842,3.43,38.91,8.8
2020-02-28,83411,2867,35306,45238,1377,57,3387,3.44,42.33,8.12
2020-02-29,85306,2936,38314,44056,1895,69,3008,3.44,44.91,7.66
2020-03-01,87690,2990,41208,43492,2384,54,2894,3.41,46.99,7.26
2020-03-02,89664,3079,44085,42500,1974,89,2877,3.43,49.17,6.98
2020-03-03,92241,3154,46681,42406,2577,75,2596,3.42,50.61,6.76
2020-03-04,94540,3249,49619,41672,2299,95,2938,3.44,52.48,6.55
2020-03-05,97331,3342,52237,41752,2791,93,2618,3.43,53.67,6.4
2020-03-06,101274,3454,54270,43550,3943,112,2033,3.41,53.59,6.36
2020-03-07,105312,3553,56760,44999,4038,99,2490,3.37,53.9,6.26
2020-03-08,109266,3797,59092,46377,3954,244,2332,3.48,54.08,6.43
2020-03-09,113166,3981,60891,48294,3900,184,1799,3.52,53.81,6.54
2020-03-10,118190,4260,62802,51128,5024,279,1911,3.6,53.14,6.78
2020-03-11,125853,4604,65113,56136,7663,344,2311,3.66,51.74,7.07
2020-03-12,131603,4909,66434,60260,5750,305,1321,3.73,50.48,7.39
2020-03-13,146008,5406,68359,72243,14405,497,1925,3.7,46.82,7.91
2020-03-14,157114,5823,70729,80562,11106,417,2370,3.71,45.02,8.23
2020-03-15,168260,6464,74139,87657,11146,641,3410,3.84,44.06,8.72
2020-03-16,182919,7144,76192,99583,14659,680,2053,3.91,41.65,9.38
2020-03-17,198757,7948,78944,111865,15838,804,2752,4.0,39.72,10.07
2020-03-18,218343,8845,81427,128071,19586,897,2483,4.05,37.29,10.86
2020-03-19,246261,9951,83064,153246,27918,1106,1637,4.04,33.73,11.98
2020-03-20,275869,11429,85509,178931,29608,1478,2445,4.14,31.0,13.37
2020-03-21,308175,13134,89775,205266,32306,1705,4266,4.26,29.13,14.63
2020-03-22,341585,14831,95990,230764,33410,1697,6215,4.34,28.1,15.45
2020-03-23,383750,16748,96456,270546,42165,1917,466,4.36,25.14,17.36
2020-03-24,424889,19016,105997,299876,41154,2268,9541,4.48,24.95,17.94
2020-03-25,475706,21793,111445,342468,50817,2777,5448,4.58,23.43,19.55
